school,ontime_percent,sport_set_percent,sport_exercise_percent,sleep_percent,score_publish_percent,homework_time_percent,extra_lessons_percent,music_percent,art_percent,sport_percent,information_percent,score_rank_percent
彩虹小学,0.0357,0.9702,0.2679,0.1726,0.131,0.2798,0.8452,0.3929,0.3929,0.3929,0.3929,0.131
草堂小学,0.0669,0.9119,0.0973,0.1094,0.1459,0.2158,0.7964,0.2644,0.2644,0.2644,0.2644,0.1459
草堂小学西区分校,0.1591,0.05,0.1227,0.1136,0.1227,0.4,0.8364,0.3227,0.3227,0.3227,0.3227,0.1227
实验小学,0.2287,0.8815,0.2231,0.1708,0.146,0.5041,0.8705,0.3361,0.3361,0.3361,0.3361,0.146
实验小学文苑分校,0.2795,0.9814,0.3354,0.2484,0.4286,0.5155,0.8509,0.5652,0.5652,0.5652,0.5652,0.4286
实验小学西区分校,0.1469,0.958,0.2308,0.1573,0.2517,0.3427,0.8217,0.3217,0.3217,0.3217,0.3217,0.2517
实验小学成飞分校,0.0397,0.8958,0.2357,0.1985,0.2705,0.397,0.8114,0.129,0.129,0.129,0.129,0.2705
四川师范大学实验外国语学校,0.4982,0.9675,0.3718,0.278,0.556,0.6318,0.917,0.787,0.787,0.787,0.787,0.556
东城根街小学,0.0735,0.951,0.2449,0.1306,0.3265,0.298,0.898,0.2571,0.2571,0.2571,0.2571,0.3265
鼓楼小学,0.6538,0.9231,0.2821,0.3974,0.0769,0.8077,0.9231,0.7692,0.7692,0.7692,0.7692,0.0769
西南财经大学附属小学,0.3679,0.9482,0.4145,0.3005,0.2591,0.3886,0.8549,0.4663,0.4663,0.4663,0.4663,0.2591
花园（国际）小学,0.0994,0.9558,0.1492,0.105,0.1105,0.232,0.8729,0.3536,0.3536,0.3536,0.3536,0.1105
浣花小学校,0.0056,0.8983,0.2147,0.1525,0.2034,0.3107,0.8136,0.1356,0.1356,0.1356,0.1356,0.2034
回民小学,0.1978,0.8791,0.2198,0.1758,0.0879,0.3077,0.7473,0.3736,0.3736,0.3736,0.3736,0.0879
金沙小学,0.0922,0.5248,0.2317,0.1253,0.3168,0.409,0.8463,0.4421,0.4421,0.4421,0.4421,0.3168
康河小学,0.0612,0.9082,0.1837,0.1633,0.1939,0.3061,0.7755,0.1224,0.1224,0.1224,0.1224,0.1939
泡桐树小学,0.5148,0.5903,0.4771,0.3235,0.6038,0.6146,0.8841,0.7251,0.7251,0.7251,0.7251,0.6038
泡桐树小学境界分校,0.295,0.9579,0.3448,0.1801,0.364,0.3257,0.7854,0.4866,0.4866,0.4866,0.4866,0.364
泡桐树小学绿舟分校,0.2439,0.9547,0.2962,0.2439,0.1672,0.3589,0.7805,0.3415,0.3415,0.3415,0.3415,0.1672
泡桐树小学西区分校,0.512,0.9593,0.3134,0.2416,0.5622,0.4976,0.9115,0.7321,0.7321,0.7321,0.7321,0.5622
青羊实验中学附属小学,0.7526,0.9844,0.7526,0.1042,0.6901,0.7344,0.9583,0.9479,0.9479,0.9479,0.9479,0.6901
清波小学校,0.0923,0.9373,0.0886,0.1882,0.3653,0.5203,0.8598,0.2841,0.2841,0.2841,0.2841,0.3653
少城小学,0.243,0.9486,0.3318,0.1495,0.0514,0.2991,0.8925,0.4673,0.4673,0.4673,0.4673,0.0514
胜西小学,0.0547,0.9531,0.2617,0.0898,0.3125,0.5117,0.8789,0.3633,0.3633,0.3633,0.3633,0.3125
实验小学明道分校,0.9193,0.9614,0.5053,0.4281,0.3649,0.7789,0.9474,0.9333,0.9333,0.9333,0.9333,0.3649
实小青华分校,0.9315,0.9758,0.6976,0.4355,0.4516,0.9476,0.9718,0.9839,0.9839,0.9839,0.9839,0.4516
实验小学战旗分校,0.1778,0.9259,0.1852,0.237,0.1889,0.3185,0.7926,0.4667,0.4667,0.4667,0.4667,0.1889
双眼井小学,0.0498,0.7463,0.1095,0.1592,0.2935,0.2438,0.7761,0.2338,0.2338,0.2338,0.2338,0.2935
同辉（国际）学校,0.5333,0.975,0.3792,0.425,0.4167,0.7083,0.9333,0.7625,0.7625,0.7625,0.7625,0.4167
万春小学,0.5843,0.8427,0.3596,0.3258,0.5056,0.8202,0.9438,0.6404,0.6404,0.6404,0.6404,0.5056
文家新兴学校,0.7018,0.8947,0.2632,0.1754,0.1404,0.7368,0.8772,0.8596,0.8596,0.8596,0.8596,0.1404
文翁实验小学,0.186,0.9593,0.2326,0.1802,0.2151,0.564,0.8837,0.2733,0.2733,0.2733,0.2733,0.2151
新华路小学,0.0827,0.9699,0.0902,0.1429,0.2782,0.1654,0.8947,0.4211,0.4211,0.4211,0.4211,0.2782
全区,0.3,0.8738,0.3031,0.2098,0.3206,0.469,0.8641,0.4894,0.4894,0.4894,0.4894,0.3206
