序号,调查内容,评价标准,依据
1,体育课设置,小学3-6年级和初中每周3课时,《中共中央国务院关于加强青少年体育增强青少年体质的意见》
2,音乐课设置,严格执行国家课程方案和课程标准，开足开齐规定课程，努力提高教学质量，促进学生全面发展。,《中小学生减负措施》（减负三十条）
3,美术课设置,严格执行国家课程方案和课程标准，开足开齐规定课程，努力提高教学质量，促进学生全面发展。,《中小学生减负措施》（减负三十条）
4,信息技术课设置,严格执行国家课程方案和课程标准，开足开齐规定课程，努力提高教学质量，促进学生全面发展。,《中小学生减负措施》（减负三十条）
5,劳动与技术课设置,严格执行国家课程方案和课程标准，开足开齐规定课程，努力提高教学质量，促进学生全面发展。,《中小学生减负措施》（减负三十条）
6,体育锻炼时间,确保每天锻炼1小时，条件允许的情况下尽量安排在户外。,《中小学生减负措施》（减负三十条）
7,学生睡眠时间,保证小学生每天睡眠时间不少于10个小时，初中生不少于9个小时，,《中小学生减负措施》（减负三十条）
8,学生作业负担,小学一二年级不布置书面家庭作业，三至六年级家庭作业不超过60分钟，初中家庭作业不超过90分钟，,《中小学生减负措施》（减负三十条）
9,成绩公布排名,考试成绩实行等级评价，严禁以任何形式、方式公布学生考试成绩及排名。,《中小学生减负措施》（减负三十条）
10,拖堂情况,改进教学方法，提高课堂教学的质量和效率，切实做到不拖堂,《中小学学生近视眼防控工作方案》
11,违规补课,严禁学校以任何名目(包括家长委员会等) 占用双休日、节假日、寒暑假组织学生集体补课或上新课,四川省教育厅关于贯彻《四川省人民政府办公厅关于规范办学行为深入推进素质教育的意见》的实施意见
