index,name,option,ss,ssn,
t1,喜欢拖堂的老师,A,语文老师,语文老师,
t1,喜欢拖堂的老师,B,数学老师,数学老师,
t1,喜欢拖堂的老师,C,英语老师,英语老师,
t1,喜欢拖堂的老师,D,其他学科老师,其他学科 CR 老师,
t1,喜欢拖堂的老师,E,无老师拖堂,无老师拖堂,
t2,体育课开设课时,A,每周3节,每周3节,
t2,体育课开设课时,B,每周2节,每周2节,
t2,体育课开设课时,C,每周1节,每周1节,
t2,体育课开设课时,D,每周0节,每周0节,
t3,体育课比例,A,按课程表每周都上够3节,按课程表 CR 每周上够3节,
t3,体育课比例,B,偶尔被其他学科占用,偶尔被其他 CR 学科占用,
t3,体育课比例,C,经常被其他学科占用,经常被其他 CR 学科占用,
t3,体育课比例,D,最近一个月没上体育课,最近一个月 CR 没上体育课,
t4,音乐课比例,A,每周3节,每周3节,
t4,音乐课比例,B,每周2节,每周2节,
t4,音乐课比例,C,每周1节,每周1节,
t4,音乐课比例,D,每周0节,每周0节,
t5,音乐课开课情况,A,按课程表每周都上够2节,按课程表 CR 每周上够2节,
t5,音乐课开课情况,B,偶尔被其他学科占用,偶尔被其他 CR 学科占用,
t5,音乐课开课情况,C,经常被其他学科占用,经常被其他 CR 学科占用,
t5,音乐课开课情况,D,最近一个月没上音乐课,最近一个月 CR 没上音乐课,
t6,每周美术开设课时,A,每周3节,每周3节,
t6,每周美术开设课时,B,每周2节,每周2节,
t6,每周美术开设课时,C,每周1节,每周1节,
t6,每周美术开设课时,D,每周0节,每周0节,
t7,美术课开课情况,A,按课程表每周都上够2节,按课程表每周 CR 上够2节,
t7,美术课开课情况,B,偶尔被其他学科占用,偶尔被其他 CR 学科占用,
t7,美术课开课情况,C,经常被其他学科占用,经常被其他 CR 学科占用,
t7,美术课开课情况,D,最近一个月没上美术课,最近一个月 CR 没上美术课,
t8,每周信息技术开设课时,A,每周3节,每周3节,
t8,每周信息技术开设课时,B,每周2节,每周2节,
t8,每周信息技术开设课时,C,每周1节,每周1节,
t8,每周信息技术开设课时,D,每周0节,每周0节,
t9,信息技术课开课情况,A,按课程表每周都上够1节,按课程表每周 CR 上够1节,
t9,信息技术课开课情况,B,偶尔被其他学科占用,偶尔被其他 CR 学科占用,
t9,信息技术课开课情况,C,经常被其他学科占用,经常被其他 CR 学科占用,
t9,信息技术课开课情况,D,最近一个月没上信息技术课,最近一个月 CR 没上信息技术课,
t10,每周体育锻炼,A,五天都能达到,五天都能达到,
t10,每周体育锻炼,B,只有三、四天能达到,只有三、四天能达到,
t10,每周体育锻炼,C,只有一、二天能达到,只有一、二天能达到,
t10,每周体育锻炼,D,一天都达不到,一天都达不到,
t11,上床睡觉时间,A,21点以前(含21点),21点以前(含21点),
t11,上床睡觉时间,B,21点至22点,21点至22点,
t11,上床睡觉时间,C,22点至23点,22点至23点,
t11,上床睡觉时间,D,23点以后,23点以后,
t12,老师公布考试成绩情况,A,每次考试都全班统一公布,每次考试 CR 全班统一公布,
t12,老师公布考试成绩情况,B,大多数考试全班统一公布,大多数考试 CR 全班统一公布,
t12,老师公布考试成绩情况,C,重要的考试（如期末考试）全班统一公布,期末考试 CR 全班统一公布,
t12,老师公布考试成绩情况,D,从来不全班统一公布，老师个别告知,从来不全班 CR 统一公布,
t13,老师按考试成绩给你们排名次吗,A,每次考试都全班统一排名,每次考试 CR 全班统一排名,
t13,老师按考试成绩给你们排名次吗,B,大多数考试全班统一排名,大多数考试 CR 全班统一排名,
t13,老师按考试成绩给你们排名次吗,C,重要的考试（如期末考试）全班统一排名,期末考试 CR 全班统一排名,
t13,老师按考试成绩给你们排名次吗,D,从来不全班统一排名,从来不全班 CR 统一排名,
t14,老师按考试成绩给你们排座次吗,A,要排,要排,
t14,老师按考试成绩给你们排座次吗,B,没排过,没排过,
t15,放学回家做作业的时间,A,1小时以内,1小时以内,
t15,放学回家做作业的时间,B,1小时至1.5小时,1小时至1.5小时,
t15,放学回家做作业的时间,C,1.5小时至2小时,1.5小时至2小时,
t15,放学回家做作业的时间,D,2小时以上,2小时以上,
t16,集体补课或上新课吗,A,经常,经常,
t16,集体补课或上新课吗,B,偶尔有过,偶尔有过,
t16,集体补课或上新课吗,C,从来没有,从来没有,
t17,语、数、英三科中按照最喜欢的科目,A,语、数、英,语、数、英,
