question,item,prop
01.学校积极开展了师德师风建设活动。,非常不符合,3.4
01.学校积极开展了师德师风建设活动。,一般,17.2
01.学校积极开展了师德师风建设活动。,比较符合,6.9
01.学校积极开展了师德师风建设活动。,非常符合,72.4
02.学校开展的师德师风建设活动形式深受教职工喜欢。,非常不符合,3.4
02.学校开展的师德师风建设活动形式深受教职工喜欢。,一般,13.8
02.学校开展的师德师风建设活动形式深受教职工喜欢。,比较符合,20.7
02.学校开展的师德师风建设活动形式深受教职工喜欢。,非常符合,62.1
03.学校建立了有效的师德师风考核机制。,非常不符合,3.4
03.学校建立了有效的师德师风考核机制。,一般,13.8
03.学校建立了有效的师德师风考核机制。,比较符合,27.6
03.学校建立了有效的师德师风考核机制。,非常符合,55.2
04.学校建立了畅通的师德师风监督举报机制。,非常不符合,3.4
04.学校建立了畅通的师德师风监督举报机制。,一般,17.2
04.学校建立了畅通的师德师风监督举报机制。,比较符合,20.7
04.学校建立了畅通的师德师风监督举报机制。,非常符合,58.6
06.工作让你感到心力交瘁。,从未如此,31.0
06.工作让你感到心力交瘁。,很少如此,27.6
06.工作让你感到心力交瘁。,有时如此,37.9
06.工作让你感到心力交瘁。,经常如此,3.4
07.早晨起来想到不得不又去面对一天的工作，你感到非常累。,从未如此,41.4
07.早晨起来想到不得不又去面对一天的工作，你感到非常累。,很少如此,31.0
07.早晨起来想到不得不又去面对一天的工作，你感到非常累。,有时如此,24.1
07.早晨起来想到不得不又去面对一天的工作，你感到非常累。,经常如此,3.4
08.上班时，你能很有效地处理学生和同事带给你的问题。,总是如此,44.8
08.上班时，你能很有效地处理学生和同事带给你的问题。,经常如此,27.6
08.上班时，你能很有效地处理学生和同事带给你的问题。,有时如此,20.7
08.上班时，你能很有效地处理学生和同事带给你的问题。,很少如此,3.4
08.上班时，你能很有效地处理学生和同事带给你的问题。,从未如此,3.4
09.自从开始干这个工作，你对人越来越冷淡了。,从未如此,65.5
09.自从开始干这个工作，你对人越来越冷淡了。,很少如此,20.7
09.自从开始干这个工作，你对人越来越冷淡了。,有时如此,13.8
10.你担心你的工作会使你变得越来越麻木。,从未如此,65.5
10.你担心你的工作会使你变得越来越麻木。,很少如此,17.2
10.你担心你的工作会使你变得越来越麻木。,有时如此,13.8
10.你担心你的工作会使你变得越来越麻木。,经常如此,3.4
11.你觉得精力非常充沛。,总是如此,48.3
11.你觉得精力非常充沛。,经常如此,27.6
11.你觉得精力非常充沛。,有时如此,20.7
11.你觉得精力非常充沛。,很少如此,3.4
12.工作让你有很强的挫折感。,从未如此,51.7
12.工作让你有很强的挫折感。,很少如此,17.2
12.工作让你有很强的挫折感。,有时如此,24.1
12.工作让你有很强的挫折感。,经常如此,3.4
12.工作让你有很强的挫折感。,总是如此,3.4
13.你并不关心学生和同事最近发生了什么事。,从未如此,62.1
13.你并不关心学生和同事最近发生了什么事。,很少如此,20.7
13.你并不关心学生和同事最近发生了什么事。,有时如此,13.8
13.你并不关心学生和同事最近发生了什么事。,经常如此,3.4
14.直接与人打交道的工作让你觉得压力太大。,从未如此,51.7
14.直接与人打交道的工作让你觉得压力太大。,很少如此,27.6
14.直接与人打交道的工作让你觉得压力太大。,有时如此,20.7
15.与学生和同事相处时，你很容易创造出轻松的气氛。,总是如此,37.9
15.与学生和同事相处时，你很容易创造出轻松的气氛。,经常如此,48.3
15.与学生和同事相处时，你很容易创造出轻松的气氛。,有时如此,10.3
15.与学生和同事相处时，你很容易创造出轻松的气氛。,很少如此,3.4
16.工作上与人密切协作后你觉得精神愉悦。,总是如此,58.6
16.工作上与人密切协作后你觉得精神愉悦。,经常如此,17.2
16.工作上与人密切协作后你觉得精神愉悦。,有时如此,24.1
17.你在工作中做成了很多有意义的事。,总是如此,48.3
17.你在工作中做成了很多有意义的事。,经常如此,24.1
17.你在工作中做成了很多有意义的事。,有时如此,27.6
18.你觉得竭尽全力却老做不成事。,从未如此,41.4
18.你觉得竭尽全力却老做不成事。,很少如此,37.9
18.你觉得竭尽全力却老做不成事。,有时如此,20.7
19.在工作中，你能很冷静地处理情绪问题。,总是如此,41.4
19.在工作中，你能很冷静地处理情绪问题。,经常如此,37.9
19.在工作中，你能很冷静地处理情绪问题。,有时如此,13.8
19.在工作中，你能很冷静地处理情绪问题。,很少如此,6.9
20.你觉得学生或同事会把自己的问题怪到你头上来。,从未如此,44.8
20.你觉得学生或同事会把自己的问题怪到你头上来。,很少如此,34.5
20.你觉得学生或同事会把自己的问题怪到你头上来。,有时如此,20.7
21.当前，你自己的专业发展意愿,比较平淡,6.9
21.当前，你自己的专业发展意愿,一般,27.6
21.当前，你自己的专业发展意愿,比较强烈,24.1
21.当前，你自己的专业发展意愿,非常强烈,41.4
22.当前，你对于自己的专业发展,有规划、无行动,6.9
22.当前，你对于自己的专业发展,有规划、少行动,34.5
22.当前，你对于自己的专业发展,有规划、多行动,58.6
24.你对职业教育新近政策的了解程度如何？,一般,27.6
24.你对职业教育新近政策的了解程度如何？,比较了解,51.7
24.你对职业教育新近政策的了解程度如何？,非常了解,20.7
25.对本专业涉及的行业发展与用人需求了解程度如何？,一般,13.8
25.对本专业涉及的行业发展与用人需求了解程度如何？,比较了解,62.1
25.对本专业涉及的行业发展与用人需求了解程度如何？,非常了解,24.1
26.近三年，你平均每年阅读专业书籍（教材除外）的数量是,0,3.6
26.近三年，你平均每年阅读专业书籍（教材除外）的数量是,1-2,25.0
26.近三年，你平均每年阅读专业书籍（教材除外）的数量是,3-5,39.3
26.近三年，你平均每年阅读专业书籍（教材除外）的数量是,6-10,21.4
26.近三年，你平均每年阅读专业书籍（教材除外）的数量是,10以上,10.7
28.你是哪种级别的“双师型”教师,都不是,44.8
28.你是哪种级别的“双师型”教师,初级,27.6
28.你是哪种级别的“双师型”教师,中级,6.9
28.你是哪种级别的“双师型”教师,高级,20.7
29.近三年，你主持的最高级别的科研项目（课题）是,没有主持,51.7
29.近三年，你主持的最高级别的科研项目（课题）是,校级,31.0
29.近三年，你主持的最高级别的科研项目（课题）是,市区级,13.8
29.近三年，你主持的最高级别的科研项目（课题）是,省部级,3.4
30.近三年，你主研的最高级别的科研项目（课题）是,没有主研,55.2
30.近三年，你主研的最高级别的科研项目（课题）是,校级,20.7
30.近三年，你主研的最高级别的科研项目（课题）是,市区级,20.7
30.近三年，你主研的最高级别的科研项目（课题）是,国家级,3.4
31.近三年，你主持的最高级别的教改项目（课题）是,没有主持,72.4
31.近三年，你主持的最高级别的教改项目（课题）是,校级,17.2
31.近三年，你主持的最高级别的教改项目（课题）是,市区级,10.3
32.近三年，你主研的最高级别的教改项目（课题）是,没有主研,69.0
32.近三年，你主研的最高级别的教改项目（课题）是,校级,13.8
32.近三年，你主研的最高级别的教改项目（课题）是,市区级,17.2
33.近三年，你在核心期刊上发表过的论文篇数是,0,72.4
33.近三年，你在核心期刊上发表过的论文篇数是,1,17.2
33.近三年，你在核心期刊上发表过的论文篇数是,3,6.9
33.近三年，你在核心期刊上发表过的论文篇数是,4及以上,3.4
34.近三年，你参与编写教材或专著的数量是,0,37.9
34.近三年，你参与编写教材或专著的数量是,1,31.0
34.近三年，你参与编写教材或专著的数量是,2,17.2
34.近三年，你参与编写教材或专著的数量是,3,13.8
35.目前，你已经获得职业资格证书级别是,没有,10.7
35.目前，你已经获得职业资格证书级别是,一级,10.7
35.目前，你已经获得职业资格证书级别是,二级,53.6
35.目前，你已经获得职业资格证书级别是,三级,17.9
35.目前，你已经获得职业资格证书级别是,四级及以下,7.1
